,colName,ticker_min_list,ticker_max_list,Low_from_High_in_percentage,value_lost_in_percentage,current_price,current_P_from_PostCrashInMarch2020_%,current_P_from_PreCrashIn20Feb2020_%,PE_RATIO,marketCap,S&P_500
7,ZTS,92.66000366210938,143.6199951171875,0.6451748141789238,0.3548251858210762,231.4499969482422,1.4978414396813473,0.6115443866948285,55.784523,109505.011712,True
21,ZION,24.07999992370605,46.25,0.5206486469990498,0.4793513530009502,63.209999084472656,1.6249999702966889,0.3667026829075169,12.850172,10354.808832,True
32,ZBRA,161.50999450683594,242.72000122070312,0.6654169153533266,0.3345830846466734,614.5499877929688,2.80502760630679,1.5319297326229162,51.508675,32885.368832,True
33,ZBH,80.62999725341797,158.38999938964844,0.5090599000197201,0.4909400999802799,124.48999786376952,0.5439662917574053,-0.2140286738841572,45.667645,25953.923072,True
37,YUM,56.52000045776367,103.87000274658205,0.5441417056246638,0.4558582943753362,133.8699951171875,1.3685420034139246,0.2888224855813113,35.803688,39880.003584,True
54,XYL,56.63999938964844,88.66000366210938,0.6388449926700677,0.3611550073299323,122.8000030517578,1.1680791732882825,0.3850665235674791,73.532936,22109.157376,True
61,XRAY,31.89999961853028,57.43999862670898,0.555362123628205,0.4446378763717949,53.290000915527344,0.6705329640371502,-0.0722492655014084,67.71284,11634.166784,True
68,XOM,31.450000762939453,59.86000061035156,0.5253925900812774,0.4746074099187226,63.0099983215332,1.0034975132904898,0.0526227477290889,XOM,266755.35872,True
73,XLNX,68.9800033569336,89.79000091552734,0.7682370269917762,0.2317629730082238,217.17999267578125,2.14844856634747,1.4187547662473006,82.89313,53399.564288,True
82,XEL,50.0,70.81999969482422,0.7060152529717418,0.2939847470282581,66.51000213623047,0.3302000427246094,-0.0608584803327631,22.942396,35796.148224,True
91,WY,13.470000267028809,30.8700008392334,0.4363459637457954,0.5636540362542046,40.02000045776367,1.9710467456873493,0.2964042555807555,22.521105,29983.584256,True
93,WYNN,43.02000045776367,133.3300018310547,0.3226580654538296,0.6773419345461704,87.58000183105469,1.0357973244802563,-0.3431335736271181,WYNN,10194.487296,True
103,WU,18.3700008392334,26.5,0.6932075788389962,0.3067924211610038,18.209999084472656,-0.0087099481464922,-0.3128302232274469,10.060773,7452.478464,True
